image_sequence_folder,label
.\train_frames\5353_37,nothing
.\train_frames\5354_37,nothing
.\train_frames\5356_2,teacher
.\train_frames\5363_8,want
.\train_frames\536_23,spring
.\train_frames\5375_6,like
.\train_frames\5380_53,write
.\train_frames\5381_53,write
.\train_frames\5383_18,sit
.\train_frames\5384_18,sit
.\train_frames\5389_38,book
.\train_frames\5390_79,pencil
.\train_frames\5391_79,pencil
.\train_frames\5404_82,read
.\train_frames\5447_93,woman
.\train_frames\5450_51,doctor
.\train_frames\5456_7,orange
.\train_frames\5472_91,draw
.\train_frames\5495_49,computer
.\train_frames\5496_49,computer
.\train_frames\5501_84,dance
.\train_frames\5502_84,dance
.\train_frames\5512_36,forget
.\train_frames\5513_36,forget
.\train_frames\5535_22,learn
.\train_frames\5536_22,learn
.\train_frames\5562_71,nurse
.\train_frames\5563_71,nurse
.\train_frames\5564_71,nurse
.\train_frames\5565_71,nurse
.\train_frames\5591_21,student
.\train_frames\5592_21,student
.\train_frames\5612_53,write
.\train_frames\5613_53,write
.\train_frames\5619_16,tired
.\train_frames\5622_61,red
.\train_frames\5623_12,finish
.\train_frames\5624_29,need
.\train_frames\5629_97,know
.\train_frames\5640_43,lost
.\train_frames\5654_3,eat
.\train_frames\565_37,nothing
.\train_frames\5663_42,boy
.\train_frames\5666_11,sister
.\train_frames\5667_11,sister
.\train_frames\5674_71,nurse
.\train_frames\56_2,teacher
.\train_frames\5707_27,sad
.\train_frames\5708_27,sad
.\train_frames\570_43,lost
.\train_frames\5712_35,paper
.\train_frames\5713_75,thanks
.\train_frames\5714_70,same
.\train_frames\5715_70,same
.\train_frames\5716_70,same
.\train_frames\5717_68,you
.\train_frames\5742_99,night
.\train_frames\5745_23,spring
.\train_frames\5756_73,now
.\train_frames\5759_99,night
.\train_frames\5765_40,fine
.\train_frames\5773_29,need
.\train_frames\5776_3,eat
.\train_frames\5778_63,sick
.\train_frames\5779_63,sick
.\train_frames\5782_10,school
.\train_frames\5788_51,doctor
.\train_frames\5794_90,work
.\train_frames\5797_46,bored
.\train_frames\57_2,teacher
.\train_frames\5801_6,like
.\train_frames\5802_16,tired
.\train_frames\5811_44,family
.\train_frames\5812_22,learn
.\train_frames\5813_91,draw
.\train_frames\5814_5,happy
.\train_frames\5826_9,deaf
.\train_frames\5827_83,when
.\train_frames\5828_30,where
.\train_frames\5837_28,table
.\train_frames\5842_13,white
.\train_frames\5843_0,hello
.\train_frames\5844_14,bird
.\train_frames\5845_14,bird
.\train_frames\5846_14,bird
.\train_frames\5848_25,fish
.\train_frames\5868_26,again
.\train_frames\5869_73,now
.\train_frames\5881_83,when
.\train_frames\5884_14,bird
.\train_frames\5899_37,nothing
.\train_frames\58_9,deaf
.\train_frames\5900_37,nothing
.\train_frames\6007_40,fine
.\train_frames\6009_88,big
.\train_frames\6010_88,big
.\train_frames\6015_32,milk
.\train_frames\6016_32,milk
.\train_frames\6017_32,milk
.\train_frames\6018_32,milk
.\train_frames\6019_8,want
.\train_frames\6020_8,want
.\train_frames\6021_8,want
.\train_frames\6022_8,want
.\train_frames\6023_8,want
.\train_frames\6024_8,want
.\train_frames\6029_76,hurt
.\train_frames\602_21,student
.\train_frames\6030_76,hurt
.\train_frames\6031_76,hurt
.\train_frames\6032_76,hurt
.\train_frames\6037_87,go
.\train_frames\6038_87,go
.\train_frames\6039_87,go
.\train_frames\603_21,student
.\train_frames\6040_87,go
.\train_frames\6041_87,go
.\train_frames\6042_85,play
.\train_frames\6043_85,play
.\train_frames\6044_85,play
.\train_frames\604_21,student
.\train_frames\6050_43,lost
.\train_frames\6057_100,apple
.\train_frames\6058_7,orange
.\train_frames\605_21,student
.\train_frames\606_70,same
.\train_frames\6074_28,table
.\train_frames\6081_14,bird
.\train_frames\6085_100,apple
.\train_frames\6099_25,fish
.\train_frames\6126_85,play
.\train_frames\6127_85,play
.\train_frames\612_86,sign
.\train_frames\613_85,play
.\train_frames\6152_25,fish
.\train_frames\6155_81,bad
.\train_frames\6158_100,apple
.\train_frames\6161_17,friend
.\train_frames\6173_3,eat
.\train_frames\6175_14,bird
.\train_frames\6188_48,water
.\train_frames\6189_32,milk
.\train_frames\618_96,pink
.\train_frames\6214_71,nurse
.\train_frames\6230_18,sit
.\train_frames\6256_80,walk
.\train_frames\6274_23,spring
.\train_frames\6294_54,hungry
.\train_frames\6311_10,school
.\train_frames\6312_91,draw
.\train_frames\6322_7,orange
.\train_frames\6323_7,orange
.\train_frames\6326_22,learn
.\train_frames\6328_78,grandmother
.\train_frames\6329_78,grandmother
.\train_frames\6330_5,happy
.\train_frames\6331_41,black
.\train_frames\6332_65,green
.\train_frames\6337_12,finish
.\train_frames\6341_41,black
.\train_frames\6343_27,sad
.\train_frames\6346_73,now
.\train_frames\6347_90,work
.\train_frames\6407_71,nurse
.\train_frames\6412_93,woman
.\train_frames\6413_100,apple
.\train_frames\641_26,again
.\train_frames\642_57,bathroom
.\train_frames\6434_70,same
.\train_frames\6435_59,how
.\train_frames\6439_73,now
.\train_frames\6441_59,how
.\train_frames\6442_59,how
.\train_frames\6450_83,when
.\train_frames\6454_72,day
.\train_frames\6455_72,day
.\train_frames\6467_51,doctor
.\train_frames\6468_43,lost
.\train_frames\6479_36,forget
.\train_frames\6480_36,forget
.\train_frames\6481_43,lost
.\train_frames\6482_43,lost
.\train_frames\6483_43,lost
.\train_frames\6496_75,thanks
.\train_frames\6497_16,tired
.\train_frames\649_84,dance
.\train_frames\6502_60,understand
.\train_frames\6503_8,want
.\train_frames\6504_15,what
.\train_frames\6509_20,yes
.\train_frames\6510_55,but
.\train_frames\6512_37,nothing
.\train_frames\6520_49,computer
.\train_frames\6521_49,computer
.\train_frames\6522_49,computer
.\train_frames\6524_80,walk
.\train_frames\6525_18,sit
.\train_frames\6531_22,learn
.\train_frames\6539_44,family
.\train_frames\6550_23,spring
.\train_frames\6551_23,spring
.\train_frames\6552_23,spring
.\train_frames\6555_51,doctor
.\train_frames\6556_51,doctor
.\train_frames\6557_51,doctor
.\train_frames\6558_51,doctor
.\train_frames\6559_29,need
.\train_frames\6560_29,need
.\train_frames\6567_11,sister
.\train_frames\6568_11,sister
.\train_frames\6569_13,white
.\train_frames\6572_48,water
.\train_frames\6575_32,milk
.\train_frames\6579_14,bird
.\train_frames\6597_100,apple
.\train_frames\65_63,sick
.\train_frames\6602_25,fish
.\train_frames\6622_54,hungry
.\train_frames\6623_54,hungry
.\train_frames\6624_54,hungry
.\train_frames\6625_54,hungry
.\train_frames\6626_54,hungry
.\train_frames\6627_54,hungry
.\train_frames\6628_54,hungry
.\train_frames\6629_54,hungry
.\train_frames\6637_56,drink
.\train_frames\6638_56,drink
.\train_frames\6639_56,drink
.\train_frames\6640_56,drink
.\train_frames\6641_56,drink
.\train_frames\6642_56,drink
.\train_frames\6643_56,drink
.\train_frames\6657_10,school
.\train_frames\6660_79,pencil
.\train_frames\6661_55,but
.\train_frames\6665_1,nice
.\train_frames\6684_36,forget
.\train_frames\6690_85,play
.\train_frames\6693_100,apple
.\train_frames\6696_38,book
.\train_frames\6697_38,book
.\train_frames\6707_69,who
.\train_frames\6708_15,what
.\train_frames\6709_83,when
.\train_frames\6710_30,where
.\train_frames\6712_59,how
.\train_frames\6713_47,please
.\train_frames\6714_75,thanks
.\train_frames\6716_50,help
.\train_frames\6717_20,yes
.\train_frames\6718_4,no
.\train_frames\6719_60,understand
.\train_frames\6720_97,know
.\train_frames\6721_45,hearing
.\train_frames\6722_9,deaf
.\train_frames\6723_2,teacher
.\train_frames\6724_21,student
.\train_frames\6726_22,learn
.\train_frames\6739_51,doctor
.\train_frames\6744_76,hurt
.\train_frames\6747_71,nurse
.\train_frames\6748_76,hurt
.\train_frames\6749_63,sick
.\train_frames\6755_16,tired
.\train_frames\6768_2,teacher
.\train_frames\6769_2,teacher
.\train_frames\6770_2,teacher
.\train_frames\6774_48,water
.\train_frames\6883_3,eat
.\train_frames\6886_56,drink
.\train_frames\6911_14,bird
.\train_frames\6914_95,france
.\train_frames\6916_1,nice
.\train_frames\6919_32,milk
.\train_frames\6937_53,write
.\train_frames\6941_32,milk
.\train_frames\6948_91,draw
.\train_frames\6960_66,english
.\train_frames\6970_58,man
.\train_frames\6971_58,man
.\train_frames\6973_95,france
.\train_frames\6993_44,family
.\train_frames\6999_8,want
.\train_frames\69_19,mother
.\train_frames\7008_58,man
.\train_frames\7009_38,book
.\train_frames\7011_23,spring
.\train_frames\7021_71,nurse
.\train_frames\7024_2,teacher
.\train_frames\7026_65,green
.\train_frames\7031_61,red
.\train_frames\7032_61,red
.\train_frames\7033_61,red
.\train_frames\7034_7,orange
.\train_frames\7035_52,yellow
.\train_frames\7036_65,green
.\train_frames\7037_64,blue
.\train_frames\7039_96,pink
.\train_frames\7040_13,white
.\train_frames\7041_41,black
.\train_frames\7042_74,brown
.\train_frames\7050_48,water
.\train_frames\7051_48,water
.\train_frames\7056_57,bathroom
.\train_frames\7057_57,bathroom
.\train_frames\7070_12,finish
.\train_frames\7071_1,nice
.\train_frames\7072_1,nice
.\train_frames\7075_65,green
.\train_frames\7077_12,finish
.\train_frames\7080_5,happy
.\train_frames\7081_5,happy
.\train_frames\7082_61,red
.\train_frames\7083_52,yellow
.\train_frames\7084_64,blue
.\train_frames\7085_65,green
.\train_frames\7086_74,brown
.\train_frames\7087_74,brown
.\train_frames\7088_41,black
.\train_frames\7089_96,pink
.\train_frames\7091_7,orange
.\train_frames\70_31,father
.\train_frames\7107_24,good
.\train_frames\7108_81,bad
.\train_frames\7112_95,france
.\train_frames\7113_39,girl
.\train_frames\7120_33,cousin
.\train_frames\7121_33,cousin
.\train_frames\7122_44,family
.\train_frames\7123_19,mother
.\train_frames\7124_19,mother
.\train_frames\7125_34,brother
.\train_frames\7126_11,sister
.\train_frames\7127_92,grandfather
.\train_frames\7130_17,friend
.\train_frames\7139_60,understand
.\train_frames\7146_0,hello
.\train_frames\7170_32,milk
.\train_frames\7176_67,name
.\train_frames\7189_41,black
.\train_frames\71_32,milk
.\train_frames\7220_3,eat
.\train_frames\7227_57,bathroom
.\train_frames\7228_9,deaf
.\train_frames\7244_45,hearing
.\train_frames\7248_26,again
.\train_frames\7249_26,again
.\train_frames\7254_81,bad
.\train_frames\7257_38,book
.\train_frames\7259_42,boy
.\train_frames\7260_55,but
.\train_frames\7261_94,right
.\train_frames\7262_94,right
.\train_frames\7263_94,right
.\train_frames\7264_9,deaf
.\train_frames\7265_9,deaf
.\train_frames\7268_91,draw
.\train_frames\7270_40,fine
.\train_frames\7272_36,forget
.\train_frames\7274_39,girl
.\train_frames\7275_45,hearing
.\train_frames\7276_77,here
.\train_frames\7277_59,how
.\train_frames\7278_59,how
.\train_frames\7282_97,know
.\train_frames\7283_22,learn
.\train_frames\7285_58,man
.\train_frames\7294_99,night
.\train_frames\7295_4,no
.\train_frames\7296_79,pencil
.\train_frames\72_3,eat
.\train_frames\7305_21,student
.\train_frames\7307_60,understand
.\train_frames\7310_30,where
.\train_frames\7312_93,woman
.\train_frames\7314_52,yellow
.\train_frames\7315_68,you
.\train_frames\7318_28,table
.\train_frames\7319_28,table
.\train_frames\7320_28,table
.\train_frames\7326_36,forget
.\train_frames\7332_46,bored
.\train_frames\7344_57,bathroom
.\train_frames\7373_26,again
.\train_frames\7378_48,water
.\train_frames\7381_61,red
.\train_frames\7386_11,sister
.\train_frames\7389_16,tired
.\train_frames\7392_76,hurt
.\train_frames\7394_12,finish
.\train_frames\7395_29,need
.\train_frames\7396_51,doctor
.\train_frames\73_56,drink
.\train_frames\7417_87,go
.\train_frames\7418_24,good
.\train_frames\7436_81,bad
.\train_frames\7444_3,eat
.\train_frames\7448_43,lost
.\train_frames\7452_36,forget
.\train_frames\7467_86,sign
.\train_frames\7472_85,play
.\train_frames\7473_14,bird
.\train_frames\7477_11,sister
.\train_frames\7604_39,girl
.\train_frames\7609_19,mother
.\train_frames\7610_42,boy
.\train_frames\7611_39,girl
.\train_frames\7613_98,live
.\train_frames\7614_28,table
.\train_frames\7616_97,know
.\train_frames\7618_10,school
.\train_frames\7645_43,lost
.\train_frames\7656_8,want
.\train_frames\7657_6,like
.\train_frames\7659_85,play
.\train_frames\7687_54,hungry
.\train_frames\7688_54,hungry
.\train_frames\7701_12,finish
.\train_frames\7708_52,yellow
.\train_frames\7710_63,sick
.\train_frames\7718_6,like
.\train_frames\7723_50,help
.\train_frames\7729_73,now
.\train_frames\7730_73,now
.\train_frames\7734_79,pencil
.\train_frames\7742_82,read
.\train_frames\7743_56,drink
.\train_frames\7745_6,like
.\train_frames\7746_6,like
.\train_frames\7767_73,now
.\train_frames\77_50,help
.\train_frames\7855_29,need
.\train_frames\7856_35,paper
.\train_frames\7857_40,fine
.\train_frames\7858_10,school
.\train_frames\7863_57,bathroom
.\train_frames\7884_62,beautiful
.\train_frames\7885_62,beautiful
.\train_frames\7897_99,night
.\train_frames\7898_99,night
.\train_frames\7900_34,brother
.\train_frames\7901_57,bathroom
.\train_frames\7925_23,spring
.\train_frames\7926_23,spring
.\train_frames\7931_5,happy
.\train_frames\7932_27,sad
.\train_frames\7937_99,night
.\train_frames\7941_73,now
.\train_frames\7946_24,good
.\train_frames\7947_81,bad
.\train_frames\79_68,you
.\train_frames\8001_37,nothing
.\train_frames\8002_38,book
.\train_frames\8003_38,book
.\train_frames\8004_50,help
.\train_frames\8007_79,pencil
.\train_frames\8008_79,pencil
.\train_frames\8010_41,black
.\train_frames\8011_22,learn
.\train_frames\8012_90,work
.\train_frames\8015_19,mother
.\train_frames\8033_10,school
.\train_frames\8034_85,play
.\train_frames\8036_97,know
.\train_frames\8043_10,school
.\train_frames\8044_86,sign
.\train_frames\8045_79,pencil
.\train_frames\8046_35,paper
.\train_frames\8047_38,book
.\train_frames\8052_60,understand
.\train_frames\8055_26,again
.\train_frames\8056_47,please
.\train_frames\8060_77,here
.\train_frames\8061_77,here
.\train_frames\8066_52,yellow
.\train_frames\8068_1,nice
.\train_frames\8082_71,nurse
.\train_frames\8085_56,drink
.\train_frames\8094_61,red
.\train_frames\8095_61,red
.\train_frames\8096_52,yellow
.\train_frames\8097_52,yellow
.\train_frames\8098_64,blue
.\train_frames\8099_64,blue
.\train_frames\8100_65,green
.\train_frames\8101_65,green
.\train_frames\8102_13,white
.\train_frames\8103_96,pink
.\train_frames\8104_96,pink
.\train_frames\8109_7,orange
.\train_frames\8129_24,good
.\train_frames\8131_94,right
.\train_frames\8143_58,man
.\train_frames\8151_38,book
.\train_frames\8157_27,sad
.\train_frames\8158_52,yellow
.\train_frames\8160_9,deaf
.\train_frames\8207_88,big
.\train_frames\8208_88,big
.\train_frames\8209_14,bird
.\train_frames\8210_14,bird
.\train_frames\8211_46,bored
.\train_frames\8212_46,bored
.\train_frames\8213_42,boy
.\train_frames\8214_42,boy
.\train_frames\8219_34,brother
.\train_frames\8220_34,brother
.\train_frames\8221_55,but
.\train_frames\8222_55,but
.\train_frames\8231_33,cousin
.\train_frames\8232_33,cousin
.\train_frames\8233_33,cousin
.\train_frames\8234_33,cousin
.\train_frames\8247_44,family
.\train_frames\8248_44,family
.\train_frames\8249_31,father
.\train_frames\8250_31,father
.\train_frames\8251_25,fish
.\train_frames\8252_25,fish
.\train_frames\8260_39,girl
.\train_frames\8261_39,girl
.\train_frames\8268_92,grandfather
.\train_frames\8269_92,grandfather
.\train_frames\8270_78,grandmother
.\train_frames\8271_78,grandmother
.\train_frames\8284_70,same
.\train_frames\8285_70,same
.\train_frames\8288_58,man
.\train_frames\8289_58,man
.\train_frames\8297_19,mother
.\train_frames\8298_19,mother
.\train_frames\82_76,hurt
.\train_frames\8313_62,beautiful
.\train_frames\8314_62,beautiful
.\train_frames\8319_29,need
.\train_frames\8320_29,need
.\train_frames\8325_11,sister
.\train_frames\8326_11,sister
.\train_frames\8350_93,woman
.\train_frames\8351_93,woman
.\train_frames\8354_14,bird
.\train_frames\8358_14,bird
.\train_frames\8369_25,fish
.\train_frames\8394_15,what
.\train_frames\8395_30,where
.\train_frames\8397_69,who
.\train_frames\8398_83,when
.\train_frames\8399_59,how
.\train_frames\83_26,again
.\train_frames\8400_67,name
.\train_frames\8401_70,same
.\train_frames\8402_55,but
.\train_frames\8403_55,but
.\train_frames\8404_9,deaf
.\train_frames\8405_45,hearing
.\train_frames\8406_45,hearing
.\train_frames\8407_58,man
.\train_frames\8408_93,woman
.\train_frames\8409_42,boy
.\train_frames\8410_39,girl
.\train_frames\8411_21,student
.\train_frames\8413_22,learn
.\train_frames\8416_20,yes
.\train_frames\8417_4,no
.\train_frames\8420_36,forget
.\train_frames\8421_36,forget
.\train_frames\8422_18,sit
.\train_frames\8425_48,water
.\train_frames\842_92,grandfather
.\train_frames\8430_32,milk
.\train_frames\8434_8,want
.\train_frames\8435_8,want
.\train_frames\8436_8,want
.\train_frames\8438_35,paper
.\train_frames\8439_35,paper
.\train_frames\8440_38,book
.\train_frames\8441_38,book
.\train_frames\8448_77,here
.\train_frames\8449_80,walk
.\train_frames\8451_41,black
.\train_frames\8452_13,white
.\train_frames\8453_52,yellow
.\train_frames\8454_65,green
.\train_frames\8455_96,pink
.\train_frames\8457_64,blue
.\train_frames\8466_51,doctor
.\train_frames\8468_6,like
.\train_frames\846_64,blue
.\train_frames\8471_40,fine
.\train_frames\8473_63,sick
.\train_frames\8474_63,sick
.\train_frames\8475_63,sick
.\train_frames\8476_63,sick
.\train_frames\8480_50,help
.\train_frames\8481_34,brother
.\train_frames\8488_53,write
.\train_frames\8489_48,water
.\train_frames\8490_86,sign
.\train_frames\8492_67,name
.\train_frames\84_8,want
.\train_frames\8501_68,you
.\train_frames\8503_20,yes
.\train_frames\8504_4,no
.\train_frames\8505_47,please
.\train_frames\8506_75,thanks
.\train_frames\8507_89,sorry
.\train_frames\8511_9,deaf
.\train_frames\8512_9,deaf
.\train_frames\8513_45,hearing
.\train_frames\8515_6,like
.\train_frames\8518_69,who
.\train_frames\8519_15,what
.\train_frames\8520_83,when
.\train_frames\8521_30,where
.\train_frames\8522_59,how
.\train_frames\8523_59,how
.\train_frames\8525_8,want
.\train_frames\8526_29,need
.\train_frames\8527_26,again
.\train_frames\8529_97,know
.\train_frames\8540_14,bird
.\train_frames\854_64,blue
.\train_frames\8552_14,bird
.\train_frames\8555_31,father
.\train_frames\8557_82,read
.\train_frames\8558_15,what
.\train_frames\8559_15,what
.\train_frames\8565_82,read
.\train_frames\8568_28,table
.\train_frames\8569_28,table
.\train_frames\856_56,drink
.\train_frames\8570_28,table
.\train_frames\8582_86,sign
.\train_frames\858_4,no
.\train_frames\85_6,like
.\train_frames\8601_14,bird
.\train_frames\8603_48,water
.\train_frames\8607_32,milk
.\train_frames\8608_54,hungry
.\train_frames\8609_54,hungry
.\train_frames\8613_81,bad
.\train_frames\8614_24,good
.\train_frames\861_90,work
.\train_frames\8622_7,orange
.\train_frames\862_90,work
.\train_frames\863_90,work
.\train_frames\8641_8,want
.\train_frames\8647_72,day
.\train_frames\8665_62,beautiful
.\train_frames\8666_72,day
.\train_frames\8667_72,day
.\train_frames\8668_72,day
.\train_frames\8670_21,student
.\train_frames\8676_80,walk
.\train_frames\8677_80,walk
.\train_frames\8678_80,walk
.\train_frames\8679_69,who
.\train_frames\8680_69,who
.\train_frames\8681_69,who
.\train_frames\8683_38,book
.\train_frames\8684_32,milk
.\train_frames\8691_11,sister
.\train_frames\8695_28,table
.\train_frames\8717_3,eat
.\train_frames\8718_54,hungry
.\train_frames\8719_54,hungry
.\train_frames\8722_48,water
.\train_frames\8723_56,drink
.\train_frames\8724_56,drink
.\train_frames\8725_56,drink
.\train_frames\8728_100,apple
.\train_frames\8729_100,apple
.\train_frames\8739_32,milk
.\train_frames\8740_32,milk
.\train_frames\8741_32,milk
.\train_frames\8746_93,woman
.\train_frames\8751_36,forget
.\train_frames\8754_97,know
.\train_frames\8788_66,english
.\train_frames\8789_66,english
.\train_frames\8807_95,france
.\train_frames\8808_95,france
.\train_frames\8811_91,draw
.\train_frames\8812_91,draw
.\train_frames\8819_43,lost
.\train_frames\8843_20,yes
.\train_frames\8847_90,work
.\train_frames\884_79,pencil
.\train_frames\885_79,pencil
.\train_frames\886_79,pencil
.\train_frames\887_79,pencil
.\train_frames\8899_77,here
.\train_frames\8901_81,bad
.\train_frames\8908_82,read
.\train_frames\8909_82,read
.\train_frames\8910_53,write
.\train_frames\8911_53,write
.\train_frames\8915_22,learn
.\train_frames\8916_22,learn
.\train_frames\8917_22,learn
.\train_frames\8946_100,apple
.\train_frames\8947_100,apple
.\train_frames\8948_7,orange
.\train_frames\8972_28,table
.\train_frames\8980_44,family
.\train_frames\8981_58,man
.\train_frames\8982_93,woman
.\train_frames\8985_31,father
.\train_frames\8986_19,mother
.\train_frames\8987_34,brother
.\train_frames\8988_11,sister
.\train_frames\8989_11,sister
.\train_frames\8991_78,grandmother
.\train_frames\8992_78,grandmother
.\train_frames\8993_33,cousin
.\train_frames\8_46,bored
.\train_frames\9008_16,tired
.\train_frames\9009_16,tired
.\train_frames\9014_12,finish
.\train_frames\9015_12,finish
.\train_frames\9021_99,night
.\train_frames\9022_99,night
.\train_frames\9028_3,eat
.\train_frames\9030_55,but
.\train_frames\9045_12,finish
.\train_frames\9052_83,when
.\train_frames\9077_9,deaf
.\train_frames\9078_17,friend
.\train_frames\9079_17,friend
.\train_frames\9080_45,hearing
.\train_frames\9081_45,hearing
.\train_frames\9090_67,name
.\train_frames\9091_1,nice
.\train_frames\9092_8,want
.\train_frames\9093_70,same
.\train_frames\909_32,milk
.\train_frames\90_27,sad
.\train_frames\9105_59,how
.\train_frames\910_32,milk
.\train_frames\9126_30,where
.\train_frames\9127_30,where
.\train_frames\9130_65,green
.\train_frames\9135_95,france
.\train_frames\9144_49,computer
.\train_frames\9147_0,hello
.\train_frames\9155_40,fine
.\train_frames\9156_5,happy
.\train_frames\9157_37,nothing
.\train_frames\9158_37,nothing
.\train_frames\9161_16,tired
.\train_frames\9177_97,know
.\train_frames\91_54,hungry
.\train_frames\9203_25,fish
.\train_frames\9204_25,fish
.\train_frames\9205_25,fish
.\train_frames\9206_25,fish
.\train_frames\9207_3,eat
.\train_frames\9224_18,sit
.\train_frames\9226_79,pencil
.\train_frames\9227_67,name
.\train_frames\9228_81,bad
.\train_frames\922_100,apple
.\train_frames\9235_87,go
.\train_frames\923_100,apple
.\train_frames\9241_68,you
.\train_frames\9242_77,here
.\train_frames\9244_77,here
.\train_frames\9246_20,yes
.\train_frames\9247_20,yes
.\train_frames\9248_20,yes
.\train_frames\9249_4,no
.\train_frames\924_7,orange
.\train_frames\9250_4,no
.\train_frames\9251_67,name
.\train_frames\9252_69,who
.\train_frames\9253_15,what
.\train_frames\9254_83,when
.\train_frames\9256_30,where
.\train_frames\9257_59,how
.\train_frames\9258_86,sign
.\train_frames\9259_22,learn
.\train_frames\925_7,orange
.\train_frames\9260_22,learn
.\train_frames\9261_21,student
.\train_frames\9262_2,teacher
.\train_frames\9263_75,thanks
.\train_frames\9264_9,deaf
.\train_frames\9265_45,hearing
.\train_frames\9266_98,live
.\train_frames\9272_93,woman
.\train_frames\9274_31,father
.\train_frames\9275_19,mother
.\train_frames\9279_11,sister
.\train_frames\9280_11,sister
.\train_frames\9281_11,sister
.\train_frames\9282_11,sister
.\train_frames\9292_9,deaf
.\train_frames\9293_9,deaf
.\train_frames\9297_42,boy
.\train_frames\9299_80,walk
.\train_frames\9303_18,sit
.\train_frames\9304_18,sit
.\train_frames\9313_60,understand
.\train_frames\9314_53,write
.\train_frames\9318_86,sign
.\train_frames\9319_86,sign
.\train_frames\9326_1,nice
.\train_frames\9327_58,man
.\train_frames\9328_93,woman
.\train_frames\9329_9,deaf
.\train_frames\9330_45,hearing
.\train_frames\9331_42,boy
.\train_frames\9332_39,girl
.\train_frames\9334_22,learn
.\train_frames\9335_70,same
.\train_frames\9338_2,teacher
.\train_frames\9339_21,student
.\train_frames\9341_95,france
.\train_frames\9342_10,school
.\train_frames\9349_4,no
.\train_frames\9350_30,where
.\train_frames\9351_69,who
.\train_frames\9374_5,happy
.\train_frames\9377_65,green
.\train_frames\9378_64,blue
.\train_frames\9379_41,black
.\train_frames\9380_13,white
.\train_frames\9381_13,white
.\train_frames\9382_13,white
.\train_frames\9383_7,orange
.\train_frames\9384_7,orange
.\train_frames\9385_61,red
.\train_frames\9387_96,pink
.\train_frames\9388_74,brown
.\train_frames\9389_52,yellow
.\train_frames\9398_1,nice
.\train_frames\93_16,tired
.\train_frames\9402_39,girl
.\train_frames\9404_51,doctor
.\train_frames\9405_51,doctor
.\train_frames\9410_71,nurse
.\train_frames\9416_21,student
.\train_frames\9426_10,school
.\train_frames\9427_90,work
.\train_frames\9463_76,hurt
.\train_frames\9465_65,green
.\train_frames\9481_55,but
.\train_frames\9484_67,name
.\train_frames\9485_67,name
.\train_frames\94_30,where
.\train_frames\9507_57,bathroom
.\train_frames\9522_52,yellow
.\train_frames\9535_20,yes
.\train_frames\9566_86,sign
.\train_frames\9567_66,english
.\train_frames\9573_45,hearing
.\train_frames\9576_60,understand
.\train_frames\9577_37,nothing
.\train_frames\9583_23,spring
.\train_frames\9588_80,walk
.\train_frames\95_38,book
.\train_frames\9602_35,paper
.\train_frames\9610_20,yes
.\train_frames\9611_53,write
.\train_frames\9612_53,write
.\train_frames\9613_53,write
.\train_frames\9622_23,spring
.\train_frames\968_76,hurt
.\train_frames\9690_7,orange
.\train_frames\9696_4,no
.\train_frames\969_76,hurt
.\train_frames\9711_14,bird
.\train_frames\971_89,sorry
.\train_frames\9724_25,fish
.\train_frames\9725_25,fish
.\train_frames\9737_49,computer
.\train_frames\9738_49,computer
.\train_frames\9739_21,student
.\train_frames\9740_21,student
.\train_frames\9741_17,friend
.\train_frames\9742_17,friend
.\train_frames\9743_2,teacher
.\train_frames\9744_2,teacher
.\train_frames\9751_71,nurse
.\train_frames\9752_71,nurse
.\train_frames\9759_97,know
.\train_frames\9760_9,deaf
.\train_frames\9761_45,hearing
.\train_frames\9763_2,teacher
.\train_frames\9764_2,teacher
.\train_frames\9765_21,student
.\train_frames\9768_10,school
.\train_frames\9774_66,english
.\train_frames\9776_95,france
.\train_frames\97_85,play
.\train_frames\9803_66,english
.\train_frames\9805_95,france
.\train_frames\985_64,blue
.\train_frames\9864_98,live
.\train_frames\9871_45,hearing
.\train_frames\9872_45,hearing
.\train_frames\9875_3,eat
.\train_frames\9879_44,family
.\train_frames\9880_44,family
.\train_frames\9881_31,father
.\train_frames\9889_34,brother
.\train_frames\9890_11,sister
.\train_frames\9893_33,cousin
.\train_frames\9894_33,cousin
.\train_frames\9895_33,cousin
.\train_frames\9896_33,cousin
.\train_frames\9900_16,tired
.\train_frames\9901_3,eat
.\train_frames\9902_3,eat
.\train_frames\9903_56,drink
.\train_frames\9904_56,drink
.\train_frames\9906_47,please
.\train_frames\9907_47,please
.\train_frames\9910_54,hungry
.\train_frames\9911_54,hungry
.\train_frames\9912_12,finish
.\train_frames\9913_8,want
.\train_frames\9914_8,want
.\train_frames\9915_28,table
.\train_frames\9916_28,table
.\train_frames\9921_18,sit
.\train_frames\9926_32,milk
.\train_frames\9927_32,milk
.\train_frames\9932_75,thanks
.\train_frames\9933_75,thanks
.\train_frames\9934_48,water
.\train_frames\9935_48,water
.\train_frames\9939_33,cousin
.\train_frames\9942_96,pink
.\train_frames\9961_3,eat
.\train_frames\9963_10,school
